PressCompany,Category,Document
뉴스1,정치,日 독도 일본 땅 주장 역사 국제 법 日 고유 영토 상보 韓 정부 항의 한일 관계 도움 미카 요코 일본 외무 상이 지난해 부산 차 한일 외교 장관 회의 참석 발언 AFP 뉴스 News 서울 뉴스 김예슬 일본 외무 상이 연례 외교 연설 재차 독도 일본 땅 주장 일본 외무성 공개 연설 전문 미카 요코 일본 외무 연례 외교 연설 이웃 나라 한국 분야 협력 폭 라며 시대 개척 위해 수준 의사소통 거듭 인도 태평양 안보 환경 감안 한일 협력 지금 더 며 한일관계 개선 궤도 가운데 글로벌 과제 대해 서도 제휴 한층 미카 외무 한일 협력 강조 한편 독도 문제 관련 다케시마 竹島 일본 주장 독도 역사 사실 국제 법 근거 거나 일본 고유 영토 라며 근거 대응 고 주장 일본 외무 상이 외교 연설 독도 대한 망언 건 지난 이후 관련 한국 정부 외교부 대변인 성명 통해 일본 정부 외무 상의 국회 외교 연설 통해 역사 지리 국제 법적 고유 영토 독도 대한 유권 주장 되풀이 데 대해 항의 라며 일본 정부 독도 대한 주장 반복 미래 지향 한일관계 구축 도움 점 자각 미카 외무 일제강점기 강제노동 니키타 현 사도 佐渡 광산 대해 서도 언급 도시마 佐渡島 광산 세계 유산 등재 향 관계 국 논의 실시 제대로 역할 완수 고 일본 니가타현 소재 사도 광산 나가사키현 소재 하시마 일명 군함도 마찬가지 조선인 강제 노역 곳 일본 정부 강제노동 사실 배제 사도 광산 세기 江戶 시대 일본 최대 금광 이자 세계 최대 금 생산 점 부각 유네스코 세계 유산 등재 추진 한국 정부 사도 광산 일본 산업 시설 전시 강제 동원 역사 곳 라며 세계 유산 등재 논의 위해 선 사도 광산 전체 역사 반영 재차 강조 미카 외무 북핵 문제 거론 북한 핵 미사일 활동 한층 의향 며 유엔 안전보장 이사회 결의 위반 탄도 미사일 발사 허용 고 지적 러시아 북한 간 강화 군사 협력 우려 며 앞 일미 일미 비롯 국제사회 계해 대응 강조
파이낸셜뉴스,정치,김정은 요새 순항미사일 까닭 주일 사이 차례 순항미사일 도발 유엔 안보리 대북 제재 대상 사각 지대 맹점 사거리 추정 평양 인근 내륙 발사 듯핵 탑재 순항미사일 대북 제재 가동 위해 다자 외교  김정은 북한 국무위원 지난 현지 신형 잠수함 발사 전략 순항미사일 SLCM 불 화살 형 시험 발사 지도 북한  보도 사진  캡처 북한 이틀 만인 해상 순항미사일 여러 발 발사 최근 일주일 사이 차례 순항미사일 도발 면서 올해 무력 도발 합동 참모 본부 날 오늘 오전 북 해상 발사 미상 순항미사일 수 발 포착 한미 정보 당국 정밀 분석 중 며 군 감시 경계 가운데 미측 공조 북한 활동 주시 고 北 순항미사일 안보리 제재 대상 포함 헛점 도발 전문가 최근 북한 순항미사일 도발 대화 유엔 안보리 제재 대상 포함 맹점 역 이용 전략 풀이 도발 장소 동해 서해 전술 순항미사일 전략 순항미사일 순항미사일 대북 제재 대상 해당 맹점 도발 해석 전문가 대체로 북한 도발 수위 횟수 점점 더 가속 가능성 전망 북한 날 발사 순항미사일 불 화살 인 추정 군 당국 평양 인근 내륙 발사 가능성 무게 불 화살 은 기존 전략 순항미사일 화살 형 개량 평가 명칭 뒤 북한 작년 공개 전술 핵탄두 화산 탑재 수 의미 풀이 북한 지난 평양 인근 해상 신형 전략 순항미사일 불 화살 처음 시험 발사 함경남도 신포시 인근 해상 불 화살 발 발사 합참 관계자 날 발사 불 화살 비행 사거리 대해 북한 주장 정상 거리 며 화살 정상 거리 화살 추정 고 설명 관계자 오늘 발사 순항미사일 비행 발사 순항미사일 정상 거리 비행 판단 고 북한 조선 중앙 통신 지난 제공 사진 이틀 전 잠수함 진수식 참석자 기념 촬영 북한 날 진수식 첫 전술핵 공격 잠수함 주장 김군 옥 영웅 함 공개 사진 조선 중앙 통신 캡처 대북 제재 플랫폼 가동 다자 차원 적극 외교 전 전문가 순항미사일 안보리 결의 위반 추가 제재 대상 포함 북한 배 중러 방해 현실 만큼 핵 안보 차원 대북 제재 플랫폼 가동 다자 차원 적극 외교 전 해법 제시 고려대 민국 관계 연구원 국제 센터 북한 해상 순항미사일 도발 유엔 제재 점 셈법 풀 가동 행태 반 센터 핵무기 탑재 순항미사일 개발 현재 로서 기존 유엔 안보리 결의 위반 핵 안보 차원 심 위협 이자 맹점 라며 순항미사일 유엔 안보리 통해 대북 추가 제재 대상 구속 목소리 북한 우방 중국 러시아 유엔 안보리 방해 사실 상황 현실 고 지적 북한 순항미사일 발사 방관 심 핵 안보 위협 노출 말 라며 G 한미 안보 아키텍처 다자 플랫폼 활용 다자 차원 대북 제재 가동 외교 전 제언 반 센터 대북 제재 해당 순항미사일 핵무기 탑재 함 핵 안보 위협 차단 목적 신호 부연 북한 그동안 미국 본토 겨냥 수 대륙간탄도미사일 ICBM 급 비롯 미군 기지 포함 한국 주일미군 후속 지원기 겨냥 단거리 탄도미사일 SRBM 중거리 탄도미사일 IRBM 사거리 탄도미사일 성능 고도화 집중 북한 전력 개발 완성 주력 잠수함 발사 탄도 미사일 SLBM 잠수함 발사 순항미사일 SLCM 은 수중 기동 잠수함 발사 발사 원점 수 해상 위치 레이더 전파 직진 특성 순항미사일 고도 회피 비행 지구 곡면 탐지 제한 북한 수중 은밀 기동 정밀 타격 SLBM SLCM 발사 수 능력 위협 평가 김정은 한미 연합 연습 을지 자유 방패 UFS 을지 프리덤 실드 기해 해군 함대 시찰 함정 전략 무기 발사 훈련 참관  보도  날 공개 전략 순항미사일 발사 장면 왼쪽 지난해 발사 전략 순항미사일 화살 지상 발사 장면 오른쪽 날 보도 함정 발사 전략 순항미사일 화살 외형 차이 사진  캡처 북한 올해 차례 무력 도발 일지 오전 서해 완충 구역 포격 발 오후 서해 완충 구역 포격 발 오후 서해 완충 구역 포격 발 오후 평양 일대 고체 연료 추진 체계 적용 초음속 중거리 탄도미사일 IRBM 추정 발 발사 비행 거리 미상 동해 수중 핵무기 체계 해일 시험 주장 오전 해상 순항미사일 여러 발 발사 北 신형 전략 순항미사일 불 화살 형 발표 오전 동해 신포 일대 순항미사일 여러 발 발사 오전 해상 순항미사일 여러 발 발사
오마이뉴스,정치,보도 못  핼로윈 특별법 이태원 참사 특별법 핼로윈 특별법 칭해 정식 명칭 안  이태원 참사 특별법 핼러윈 특별법 지칭 보도  갈무리 윤석열 대통령 이태원 참사 특별법 거부  은 국무회의 핼러윈 특별법 재의 요구 상정 제목 관련 소식 보도 핼러윈 특별법 은 이태원 참사 특별법 단어 핼러윈 특별법 은 이태원 참사 초기 몇몇 보수 언론 등장 최근   만 사용  지난 통해 이태원 참사 핼러윈 참사 공지 이유 이태원 지역 계속 사용 경우 이태원 주민 고통 고려 조속 일상 회복 차원  주장 특정 지역 언급 이태원 말 사용 움직임  문화 방송 도 특정 지역 이름 참사 연결 지역 부작용 해당 지역 주민 상인 고통 피해 발생 며 참사 바 민주 언론 시민 연합 은 통해 참사 이름 고민 태도  핼러윈 이란 명칭 참사 유가족 고통 감안 의문 라며 참사 이태원 잘못 핼러윈 축제 잘못 참사 특성 핼러윈 축제 거나 외국 귀신 축제 차 가해 힘 실어 줄 가능성 고 지적 정식 법안 명칭 핼러윈 고집  통해 검색 이태원 참사 관련 법안 국회 홈페이지 갈무리  이태원 참사 핼러윈 참사 국무회의 이태원 참사 특별법 거부권 행사 안 의결 보도 이태원 참사 특별법 지칭 이태원 참사 특별법 이태원 참사 피해자 권리 보장 진상 규명 재발 방지 위 특별 법안 때문 국회 의안 정보 시스템 통해 검색 이태원 참사 관련 법안 핼러윈 특별법 단어 정부 공식 정책 브리핑 홈페이지 이태원 참사 진상 규명 특별 법안  이태원 특정 지역 걱정 해도 공식 법안 보도 언론 특성 참사  은 이태원 참사 특별법 핼러윈 특별법 지칭 보도 누리꾼  핼러윈 특별법 보도 못 처음 용어 라며 언론 댓글 이태원 참사 특별법 윤석열 대통령 거부권 행사 법안 유가족 야당 유가족 제대로 사과 직접 양해 모습 거부권 행사 며 윤 대통령 비판 글 독립 언론 아이엠 피터 뉴스 게재
연합뉴스,정치,이재명 오늘 신년 회견 총선 각오 민주당 지지 호소 尹 정권 비판 대안 제시 선거 입장 주목 발언 이재명 대표 서울  민주당 이재명 대표 국회 최고 위원 회의 발언 서울  민주당 이재명 대표 오전 국회 회견 총선 임 각오 새해 당 운영 구상 대표 날 회견 윤석열 정권 비판 총선 민주당 지지 달라 메시지 민주당 메시지 통해 대표 윤석열 정권 초래 대한민국 위기 상황 진단 라며 총선 대한민국 날 규정 국민 선택 호소 전 대표 회견 위기 진단 국정 야당 대안 제시 예정 북한 순항 미사일 발사 긴장 고조 상황 한반도 평화 위 방안 비롯 재생에너지 강국 위 제언 저출산 문제 대한 근본 대책 회견 내용 날 회견 총선 적용 선거 개편안 대해 입장 주목 현재 당내 비례대표 배분 방식 관련 현행 준 연동 유지 병립 회귀 의견 팽팽하 대표 결단 목소리 여당 국민 힘 위성정당 총선 병립 회귀 주장 반면 대표 대선 당시 비례대표 용 위성정당 방지 연동 권역별 비례대표제 약속 만큼 의견
국제신문,정치,속보 尹 대통령 이태원 특별법 거부권 행사 취임 후 윤석열 대통령 이태원 특별법 이태원 참사 피해자 권리 보장 진상 규명 재발 방지 위 특별법 대한 재의 요구 거부권 행사 국제 신문 DB 대통령실 날 윤 대통령 날 오전 국무총리 주재 국무회의 의결 이태원 특별법 재의 구안 재 고 앞서 정부 날 한덕수 국무총리 주재 국무회의 이태원 특별법 재의 구안 상 정해 의결 총리 국무회의 발언 이태원 특별법 대해 자칫 명분 실 국가 행정 재원 소모 국민 분열 불신 심화 우려 며 이태원 참사 아픔 정 위헌 소지 정당화 수단 수 고 말 총리 이태원 특별법 이태원 참사 진상 규명 위해 특별 조사 위원회 특 조위 설치 추가 조사 실시 핵심 삼고 며 그간 검 경의 결과 문제 근거 추가 조사 위 별도 특조위 설치 희생 유가족 국민 의미 깊이 고민 수 고 이태원 특별법 특 위원 명 중 국민 힘 민주당 명 국회의장 명 추천 특조위 불 송치 수사 중지 사건 기록 열람 수 국민 힘 조항 반발 법안 민주당 주도 지난 국회 본회의 통과 한편 윤 대통령 취임 이후 거부권 행사 건 번
뉴시스,정치,불교 축전 참석 윤석열 대통령  Pic 서울  윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 불기 새해 맞이 나라 민족 위 불교 축전 귀의 박미영 윤석열 대통령 불교 신년 행사 국민 더 평화 수 불교 정부 노력 고 말 윤 대통령 날 서울 강남 호텔 새해 맞이 나라 민족 위 불교 축전 참석 축사 윤 대통령 지난해 새만금 세계 스카우트 잼버리 파행 운영 사태 당시 불교 협력 지원 감사 표 한국 문화 뿌리 전통문화 중심 불교 자리 잡고 문화유산 보존 계승 불교 역할 며 정부 내년 개편 국가 유산 청 문화 재청 이름 내 종교 유산 협력 관 신설 불교 유산 비롯 종교 유산 체계 효율 보호 국회 전통 사찰 보존 법 통과 불교 유산 제대로 계승 고 강조 윤 대통령 선 禪 명상 대중화 통해 국민 정신건강 기여 불교 노력 공감 표 윤 대통령 날 행사 한국 불교 종단 협의 회장 진우 스님 새해 소망 발원 연등 윤 대통령 국민 행복 기원 발원 날 행사 진우 스님 천태종 총무 원장 덕 스님 불교 종단 원장 스님 윤재옥 국민 힘 원내대표 주호영 국회 정각 회 회장 유인촌 문화 체육관 광부 장관 한화 진 환경부 장관 박상우 국토교통부 장관 명 참석 서울  윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 불기 새해 맞이 나라 민족 위 불교 축전 조계종 총무 원장 진우 스님 법공 윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 불기 새해 맞이 나라 민족 위 불교 축전 반야심경 경청 합장 윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 불기 새해 맞이 나라 민족 위 불교 축전 조계종 총무 원장 진우 스님 법공 윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 불기 새해 맞이 나라 민족 위 불교 축전 조계종 총무 원장 진우 스님 법공 윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 호텔 불기 새해 맞이 나라 민족 위 불교 축전 홍 서원 합장 윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 호텔 불기 새해 맞이 나라 민족 위 불교 축전 홍 서원 합장 윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 호텔 불기 새해 맞이 나라 민족 위 불교 축전 홍 서원 합장 윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 호텔 불기 새해 맞이 나라 민족 위 불교 축전 새해 소망 발원 연등 매달 윤 대통령 부처님 대한민국 사진 대통령실 제공 재판매 DB 금지 서울  윤석열 대통령 서울 강남구 그랜드 인터컨티넨탈 파르 나스 불기 새해 맞이 나라 민족 위 불교 축전 종단 대표자 새해 인사
매일경제,정치,직장 내 괴롭힘 학폭 관련 얼씬 한동훈 표 공천 기준 확정 경선 완료 국회의원선거 국민 힘 정영환 관리 위원 서울 여의도 당사 공천 관리 위원회 차 회의 발언 국민 힘 관리 위원회 총선 공천 심사 기준 세부 경선 방식 논의 발표 관위 성범죄 몰카 스토킹 아동학대 강력범죄 비리 연루 공천 원천 배제 내달 면접 시작 내달 말 지역구 경선 완료 정영환 공관 위원장 포함 공관 위원 날 오후 서울 여의도 국민 힘 중앙 당사 차 회의 내용 논의 정 위원장 관위 공천 신청 접수 완료 부적 격 기준 해당 신청 원천 배제 후 본격 심사 평가 착수 계획 국민 눈높이 도덕성 자질 후보 선정 위해 부적 격 기준 대폭 며 지역별 면접 실시 면접 종료 후 경선 추천 추천 지역 심사 내용 차례대로 발표 예정 설명 헀다 관위 경선 수 앞서 마련 평가 기준 바탕 후보 심사 면접 절차 진행 며 합리 심사 절차 진행 통해 후보자 결과 존중 함 총선 길 고 국민 힘 신 대악 부적 격 비리 대해 천적 공천 배제 강조 장동혁 사무 총장 브리핑 대한민국 미래 범죄 신 대악 부적 격 비리 대해 천적 공천 배제 사면 복권 경우 공천 원천 배제 고 신 대악 성폭력 차 가해 직장 내 괴롭힘 학교 폭력 마약 범죄 포함 부적 격 자녀 배우자 자녀 입시 비리 채용 비리 본인 배우자 자녀 병역비리 자녀 국적 비리 성범죄 몰카 스토킹 성범죄 아동학대 아동 폭력 국민 지탄 형사범 벌금형 선고 경우 공천 배제 고 강력범죄 뇌물 범죄 재산범죄 선거범죄 도 주차 음주운전 파렴치 범죄 대해 집행유예 형 확정 공천 신청 당시 하급 심 집행유예 판결 경우 공천 원천 배제 장 사무 총장 음주운전 관련 지난번 선거일 이내 이내 시 원천 배제 윤창 호법 시행 이후 시 원천 배제 고 말 부적 격 기준 적용 국민 힘 국민 눈높이 공천 민주당 차별 부적 격 기준 적용 말
뉴스1,정치,적기 기 격추 美 조종사 데이비스 전쟁 영웅 조지 앤드류 데이비스 주니어 중령 조지 앤드류 데이비스 주니어 미국 공군 중령 국가 보훈부 제공 서울 뉴스 한국 전쟁 전쟁 중 총 차례 임무 수행 적기 격추 조지 앤드류 데이비스 주니어 미국 공군 중령 당시 소령 전쟁 영웅 선정 국가 보훈부 데이비스 중령 미국 육군 항공대 입대 전투기 조종사 로서 태평양 전쟁 참전 전쟁 참전 데이비스 중령 공군 전투 요격 비행단 소속 배치 중공군 주요 증 원로 평안북도 신의주 상공 아군 엄호 미그 회랑 MiG Alley 초 임무 수행 데이비스 중령 전쟁 기간 중 차례 출격 기 적기 격추 하늘 사냥꾼 이후 유엔군 내 최고 격추 기록 보유 공군 최고 전투기 조종사 활약 데이비스 중령 마지막 정찰 임무 F 전투기 지휘 북한 중국 만주 접경 부근 정찰 임무 수행 데이비스 중령 미그 대로 구성 중공군 아군 전투기 위협 노출 확인 미그기 대형 향 급강하 뒤 후방 대형 전진 적기 격추 집중 적의 공격 피하 대신 속도 줄 적기 전투 벌 중 적의 공격 산화 데이비스 중령 전사 공격 적의 진 교란 아군 적의 도발 방어 수 데이비스 중령 마지막 순간 살신성인 자세 대한민국 수호 공 미국 정부 군인 수 최고 무공훈장 명예훈장 Medal of Honor
머니투데이,정치,힘 평화 尹 대통령 연속 통합 방위 회의 직접 주재 the 서울 뉴스 윤석열 대통령 청와대 영빈 관 차 중앙 통합 방위 회의 발언 대통령실 제공 뉴스 윤석열 대통령 연속 중앙 통합 방위 회의 직접 주재 북한 연 도발 전 국가 대응 태세 점검 올해 총선 만큼 북한 가짜 뉴스 유포 정치 도발 대해 서도 집중 논의 계획 대통령실 윤 대통령 오전 오후 차 중앙 통합 방위 회의 군 주요 지휘 관 회의 주재 예정 인성 환 국가안보실 차장 날 용산 청사 브리핑 대통령 하루 전체 안보 일정 할애 현재 안보 상황 인식 대한민국 국군 통 수권 로서 군 정부 안보 대비 태세 종합 보고 점검 위함 설명 북한 날 해상 순항미사일 시험 발사 연초 도발 위협 고조 대한민국 주적 이자 교전 상대 국 공언 핵 위협 먼저 오전 중앙 통합 방위 회의 민 관 군 총력 안보 태세 점검 자리 국무위원 광역지방자치단체 유관 기관 군 경 소방 여명 참석 올해 최초 국민 참관 단 명도 참가 인 차장 중앙 통합 방위 회의 유사시 실전 상황 상 정해 정부 부처 지자체 기관 별 조치 사항 협력 방안 확인 보완 예정 라며 북한 정권 군사 도발 사이버공격 가짜 뉴스 거짓 정보 유포 정치 도발 대한 대응 대해 서도 집중 논의 오후 군 지휘 관 회의 국군 통 수권 대통령 군 군사 대비 태세 보고 점검 자리 회의 국방부 장관 합참의장 군 참모총장 한미연합사 부 사령관 해병대 사령관 합참 군 주요 직위 참석 인 차장 군 주요 지휘 괸 북한 도발 예상 시나리오 유형 별로 상정 대한 대응 방안 심층 논의 예정 바탕 북한 정권 도발 압도 응징 라며 정부 앞 국민 안전 국민 안심 경제 사회 활동 수 최선 고 서울 뉴스 윤석열 대통령 청와대 영빈 관 차 중앙 통합 방위 회의 발언 대통령실 제공 뉴스 중앙 통합 방위 회의 북한 도발 대응 위해 시작 비상 치안 회의 근간 그동안 대통령 국무총리 주관 국무총리 주관 코로나 사태 영향 윤석열 정부 출범 전 서면 보고 화상회의 로만 진행 힘 평화 세운 윤 대통령 지난해 통합 방위 회의 직접 주재 당시 윤 대통령 지난 정부 회의 규모 축소 가짜 평화 민 관 군 경의 통합 훈련 제대로 시행 고 지적 향후 매년 직접 회의
뉴스1,정치,한동훈 오늘 수원 방문 철도 지하 총선 호 공약 발표 도심 성장 국민 택배 설 연휴 민생 공약 연속 발표 호 공약 청년 신혼부부 주거지 듯 한동훈 국민 힘 비상 대책 위원 오후 출생 관련 공약 가족 행복 국민 택배 서울 강남구 레이 포지티브 발표 가족 행복 은 총선 호 공약 부총리 인구 부 신설 아빠 휴가 개월 유급 의무 아기 유연 근무 도입 인재 인 센티 브 지급 가족 친 우수 중소기업 법인세 뉴스 News 국회 진취 재단 서울 뉴스 국민 힘 총선 호 공약 철도 지하 정책 발표 국민 힘 날 한동훈 국민 힘 비상 대책 위원장 오후 경기도 수원시 방문 위원장 반도체 현장 기업인 연구원 목소리 청취 예정 이후 위원장 윤석열 대통령 공약 중 철도 지하 관련 공약 국민 택배 형식 직접 발표 예정 공약 이름 도심 성장 앞서 윤 대통령 지난 민생 토론회 도로 철도 단절 도시 공간 지하 철도 지하 특별법 활용 종합 계획 수립 착수 선도 사업 추진 고 말 윤 대통령 위원장 지난 오찬 회 철도 지하 포함 교통 문제 대해 서도 논의 지난 국회 본회의 철도 지하 특별법 통과 철도 지하 통합 개발 상부 부동산 개발 이익 철도 지하 사업 재원 활용 수 공약 실현 위 밑거름 마련 평가 한편 당 총선 호 공약 청년 신혼부부 주거 지원 방안 발표 예정 호 공약 앞서 정이 발표 청년 주거지 방안 보완 반영 전망 앞서 정은 지난해 정협 의회 청년 집 마련 주거지 프로그램 최대 금리 청년 주택 드림 청약 통장 신설 소득 요건 납입 한도 확대 청년 주택 드림 대출 분양 저리 장기 대출 결혼 후 다자 녀 출산 시 추가 우대 금리 제공 발표 바
